,Datetime added,Journal,Found by,Datetime,Category,Type,Title,Link,Subtitle,Content,Comment ID,Comment author,Comment datetime displayed,Comment datetime,Comment content,Comment in answer to,Comment likes,Comment dislikes
ara-2024-09-25 15:04:02-Andorra i Montenegro acorden un Conveni de no doble imposició,2024-09-26 00:07:02.294950,ara,andorra,2024-09-25 15:04:02,internacional,article,Andorra i Montenegro acorden un Conveni de no doble imposició,https://www.ara.ad/internacional/andorra-montenegro-acorden-conveni-no-doble-imposicio_1_5150861.html,"El cap de Govern, Xavier Espot, també s'ha reunit amb la secretària general de la Unió Internacional de Telecomunicacions (UIT), Doreen Bogdan-Martin,","Andorra la VellaLa jornada de treball d'aquest dimarts s'ha iniciat amb la participació del cap de Govern, Xavier Espot, a la recepció oferta pel secretari general de les Nacions Unides, António Guterres, als mandataris aplegats a Nova York amb motiu de la celebració de la 79a Assemblea General de les Nacions Unides. Espot, conjuntament amb la ministra d'Afers Exteriors, Imma Tor, han assistit a l'obertura del Debat General. En l'àmbit bilateral, la ministra d'Afers Exteriors, Imma Tor, i el seu homòleg montenegrí, Ervin Ibrahimovic, han formalitzat la signatura aquest dimarts del Conveni per eliminar la doble imposició (CDI) entre els dos països. El conveni passarà ara a tràmit parlamentari per a la seva aprovació.  Els dos ministres han celebrat la materialització d'unes negociacions que es van iniciar formalment a principis d'aquest any. Amb aquest nou CDI, Andorra ja disposa de 19 convenis de les mateixes característiques signats amb altres països com Espanya, França, Liechtenstein, Luxemburg, Malta, Portugal, Xipre, San Marino i Hongria, entre d'altres. Durant la trobada, Tor i Ibrahimovic, han pogut tractar diversos àmbits de la col·laboració bilateral i multilateral entre els dos països, com la cooperació en l'àmbit turístic, econòmic i financer.  El cap de Govern i la secretària general de la Unió Internacional de Telecomunicacions exploren noves vies de col·laboració El cap de Govern, Xavier Espot, també s'ha reunit amb la secretària general de la Unió Internacional de Telecomunicacions (UIT), Doreen Bogdan-Martin, màxima responsable de l'agència especialitzada de les Nacions Unides en tecnologies de la informació. En la trobada, els dos mandataris han fet seguiment de la col·laboració establerta entre Andorra i la UIT.  Espot ha agraït la participació activa de l'agència en la primera edició del Fòrum Digital d'Andorra, organitzat la primavera passada conjuntament amb la Secretaria General Iberoamericana i que va inaugurar el vicesecretari de l’UIT, Tomas Lamanauskas. Espot ha exposat a Bogdan-Martin la voluntat del Govern de donar continuïtat i acollir pròximes edicions d'aquest Fòrum amb l'objectiu de continuar contribuint a la digitalització en tots els països de l'espai iberoamericà i d'intercanviar experiències per avançar cap a la connectivitat universal. Durant la trobada, el cap de Govern i la secretària general han abordat la prioritat d'Andorra en accelerar la transició digital a favor del desenvolupament econòmic i social. En aquest sentit, Espot ha explicat l'evolució d'Andorra, que fa només quatre anys se situava a la cua dels països europeus en matèria de transformació digital i, amb la determinació del Govern per revertir aquesta situació avui en dia, el nivell de digitalització d'Andorra se situa en la mitjana europea.  Bogdan-Martin s'ha interessat pel Programa de Transformació Digital d'Andorra, especialment per les accions que s'estan duent a terme al voltant del benestar digital dels infants i adolescents, una prioritat que també comparteix la UIT. També han acordat impulsar la cooperació entre l'agència de les Nacions Unides i Andorra Telecom en àmbits com la formació i han explorat la possibilitat de poder organitzar i acollir una de les reunions de la UIT al Principat. La reunió ha evidenciat la bona col·laboració existent i les dues parts han acordat impulsar la signatura d'un acord que en doni continuïtat i obri noves vies de cooperació.  El rol dels petits Estats i el multilateralisme La ministra d'Afers Exteriors, Imma Tor, també ha participat aquest dimarts en la taula rodona d'alt nivell ""Enfortint el multilateralisme promovent la Carta de les Nacions Unides. El rol dels petits Estats"", organitzada per Estònia, Liechtenstein, Guyana, Sierra Leone, Singapur i Kuwait, on ha defensat el rol dels Estats de petita dimensió en l'enfortiment de l'ordre multilateral i el manteniment i la defensa de la Carta de les Nacions Unides a través de la diplomàcia, la promoció del diàleg i el suport a les normes internacionals basades en regles i la defensa de la resolució pacífica de conflictes. En la seva intervenció, Tor ha expressat que ""Andorra demana fermament un diàleg inclusiu per posar fi a la guerra i restablir la pau i la seguretat a Europa. Advoquem per relacions multilaterals més profundes en el marc de les Nacions Unides per forjar acords que redueixin els conflictes i fomentin la cooperació entre els estats."" La delegació andorrana, encapçalada pel cap de Govern, continuarà aquest dimecres l'agenda multilateral i bilateral en el marc de la 79a Assemblea General de les Nacions Unides. Així, es preveu que el cap de Govern es reuneixi, entre d'altres, amb el president de l'Equador, Daniel Noboa, per tractar l'agenda de la XXIX Cimera Iberoamericana de caps d'Estat i de Govern que acollirà la ciutat de Cuenca (Equador) aquest mes de novembre. Per la seva part, la ministra d'Afers Exteriors, Imma Tor, es trobarà amb el ministre d'Afers Exteriors de Malàisia, Mohamad Hassan, amb qui celebrarà la signatura de l'establiment de relacions diplomàtiques entre ambdós països. També tindrà l'oportunitat de trobar-se amb la seva homòloga de Finlàndia, Elina Valtonen, i participar en diferents reunions multilaterals convocades en el marc de l’Assemblea General.",,,,,,,,
"ara-2024-09-25 09:09:42-Andorra Endavant alerta a la classe política que ""legislar no és jugar al Monopoly""",2024-09-26 00:07:02.294950,ara,andorra,2024-09-25 09:09:42,politica,article,"Andorra Endavant alerta a la classe política que ""legislar no és jugar al Monopoly""",https://www.ara.ad/politica/andorra-endavant-alerta-concordia-legislar-no-jugar-monopoly_1_5150491.html,"Montaner ha assenyalat que els polítics ""han d'acostumar-se a basar les seves propostes en estudis fonamentats""","Andorra la VellaAndorra Endavant, el grup parlamentari liderat per Carine Montaner, ha expressat la seva preocupació per la manera en què s'estan prenent decisions legislatives, destacant la controvertida llei Òmnibus. Segons AE, tant Govern com partits d'oposició com Concòrdia estan legislant sense estudis rigorosos ni dades actualitzades, cosa que posa en risc la vida de molts ciutadans. Montaner ha assenyalat que els polítics ""han d'acostumar-se a basar les seves propostes en estudis fonamentats"", i ha criticat la falta d'estudis de càrrega, especialment aquells previstos per la Llei 32/2022, que promou la sostenibilitat en el desenvolupament urbanístic i turístic.  
                                Concòrdia vol un impost de transmissió patrimonial del 10%
                 Segons Andorra Endavant, l'absència d'aquestes anàlisis pot tenir conseqüències devastadores per a l'economia i el teixit social del país. Montaner va destacar que ""no estem jugant al Monopoly"", advertint que les decisions que es prenen no tenen en compte l'impacte real sobre les persones.  ""No es pot anar a cegues"" Una de les crítiques principals d'Andorra Endavant és la manca d'una ""fotografia clara del mercat del lloguer"". El grup denuncia que, tot i els esforços del Ministeri de l'Habitatge per recollir dades, aquestes encara són insuficients.   
                                Andorra Endavant manifesta que Espot divideix en bons i dolents la societat andorrana
                 Per a Montaner, la col·laboració amb els comuns és clau, ja que aquests gestionen les llicències d'obra i tenen accés a registres essencials que podrien donar una visió més precisa del parc immobiliari del país.  
                                Concòrdia presenta les esmenes a la llei òmnibus amb l'objectiu d'incentivar la sostenibilitat demogràfica
                 En contrast amb la postura de Concòrdia, que recentment ha presentat esmenes a la llei Òmnibus amb propostes com el límit de 100.000 metres quadrats anuals per al mercat immobiliari i un sistema tributari per frenar l'especulació, Andorra Endavant critica que aquestes mesures no van a l'arrel del problema. Montaner considera que legislar sense tenir dades completes és perillós i que, sense una comprensió clara del mercat immobiliari, totes aquestes propostes poden resultar insuficients o inadequades.",,,,,,,,
"ara-2024-09-25 10:42:17-Urgell sobre limitar l'entrada a treballadors per compte propi: ""El talent que ve a Andorra és part de la solució, no del problema""",2024-09-26 00:07:02.294950,ara,andorra,2024-09-25 10:42:17,economia,article,"Urgell sobre limitar l'entrada a treballadors per compte propi: ""El talent que ve a Andorra és part de la solució, no del problema""",https://www.ara.ad/economia/urgell-limitar-l-entrada-treballadors-compte-propi-talent-ve-andorra-part-solucio-no-problema_1_5150563.html,El CEO de la firma andorrana Abast ha destacat que cada nou resident contribueix a l'economia andorrana pagant impostos i cotitzant a la CASS,"Andorra la VellaEl CEO de la firma andorrana Abast, Marc Urgell, ha expressat la seva oposició a les esmenes proposades pel grup parlamentari Concòrdia, que inclouen mesures per limitar l’entrada de nous residents com a part d’una estratègia per controlar el creixement demogràfic i l’especulació immobiliària a Andorra. Urgell ha alertat que aquestes propostes podrien tenir efectes adversos per al teixit empresarial i l’economia del país. “Imaginem que algú vol contractar una persona i ningú al país pot assumir aquesta feina, què farà l’empresari? Si no pot portar algú de fora, distorsionarà tot. No s’arreglarà així el problema de l’habitatge”, ha afirmat Urgell. Segons ell, limitar l’entrada de treballadors qualificats o autònoms pot forçar les empreses a abandonar el país, ja que “si no pots créixer aquí, et diuen que marxis”.  Urgell ha destacat que cada nou resident contribueix a l’economia andorrana pagant impostos, cotitzant a la CASS i consumint en els negocis locals. “Impedir això és contraure la demanda i impossibilitar el creixement empresarial”, ha afegit. També ha subratllat la importància de la immigració per contrarestar la baixa natalitat del país, assenyalant que molts d’aquests treballadors acaben tenint fills, la qual cosa beneficia Andorra a nivell generacional. ""Hem de veure la part positiva"" Pel que fa a l’impacte sobre la CASS, Marc Urgell ha indicat que els nous cotitzants són essencials per mantenir l’equilibri del sistema de seguretat social, afirmant que “molts d’aquests autònoms són contribuents nets”.  En aquest sentit, ha qüestionat l’efectivitat de limitar l’entrada de professionals per frenar l’augment del preu dels habitatges. “Evitar que aquestes persones entrin farà que el preu del pis no pugi 20 euros? Perfecte. Però el que perds sense l’entrada d’aquestes persones pot suposar una pèrdua molt més gran a curt i llarg termini”, assegura Urgell. L’expert en Fiscalitat ha advertit sobre les conseqüències de rebutjar talent estranger i ha defensat un model més meritocràtic en lloc de limitar les quotes de residència. “Si arriba un Zuckerberg i li dius que no pot entrar, això no té sentit”, ha dit, en referència a l’oportunitat perduda de retenir talent que pot aportar al país.  Un cas no aislat Finalment, ha reflexionat sobre els sectors tradicionals de l’economia andorrana, com la banca, el turisme i el comerç local, destacant els desafiaments que enfronten a mig termini, especialment pel canvi climàtic i els acords financers internacionals.  De fet, l’empresari ha defensat que la nova onada de professionals i empreses tecnològiques pot ser part de la solució a aquests problemes, aportant noves formes d’empresa i dinamitzant l’economia.  “Hem de veure la part positiva”, ha conclòs, tot lamentant que es criminalitzi aquest sector quan, de fet, contribueix a generar recursos per construir habitatge públic i donar suport als ciutadans. Per a Urgell, limitar l’entrada de treballadors qualificats no només no resoldrà la crisi de l’habitatge, sinó que també enviarà un missatge negatiu sobre el creixement econòmic i empresarial a Andorra, afegint que la problemàtica de l’habitatge és global, no només andorrana.",,,,,,,,
ara-2024-09-24 13:52:12-Andorra al 'Pacte per al Futur' de l'ONU,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 13:52:12,politica,article,Andorra al 'Pacte per al Futur' de l'ONU,https://www.ara.ad/politica/andorra-pacte-futur-l-onu_1_5149886.html,Espot s’ha compromès davant dels mandataris mundials a avançar en els grans reptes del planeta com el desenvolupament sostenible,"Andorra la VellaEl cap de Govern, Xavier Espot, ha intervingut aquest dilluns en la sessió plenària de la Cimera del Futur, que se celebra a Nova York en el marc de la setmana de treball de la 79a Assemblea General de les Nacions Unides. Aquest esdeveniment al més alt nivell ha estat convocat pel president de l’Assemblea, Philemon Yang, per reforçar la cooperació internacional i accelerar els esforços per complir els compromisos internacionals, adoptar mesures concretes per fer front als nous reptes i aprofitar les noves oportunitats.  Andorra s’ha adherit al document final 'Un Pacte per al Futur', que recull el compromís d’adoptar mesures i cooperar per abordar els reptes globals i construir un futur més just, sostenible i inclusiu.  Així, Espot s’ha compromès davant dels mandataris mundials a avançar en els grans reptes del planeta com el desenvolupament sostenible, la lluita contra el canvi climàtic, la pau i la seguretat internacionals, la tecnologia i la innovació, la cooperació digital, la joventut i les generacions futures, i la transformació de la governança mundial.  Tal com ha afirmat el cap de Govern, el multilateralisme és fonamental per afrontar aquests reptes universals, adaptar els mecanismes de seguretat i lluitar contra les desigualtats per construir un futur millor per a les noves generacions.   Espot s’ha referit al canvi climàtic com la crisi més urgent del nostre temps, requerint acció immediata, cooperació incondicional i compromisos ferms. Les conseqüències són devastadores, ha dit, i ha afegit que la transició cap a una economia verda “no és una opció, sinó una necessitat”.  També ha incidit en la necessitat de regular el desenvolupament tecnològic amb criteris ètics i inclusius per assegurar que ningú quedi enrere en la revolució digital. En aquest sentit, ha explicat que Andorra ha adoptat un ambiciós Programa de Transformació Digital per protegir els drets digitals dels ciutadans i ha posat en marxa un pla d'acció per millorar el benestar digital dels infants i joves, destacant la importància de l’educació com una eina poderosa per transformar el món. El cap de Govern ha apel·lat a l’enfortiment del multilateralisme i a que els mecanismes de presa de decisions siguin més efectius. Tal com ha afirmat el cap de Govern “només el diàleg obert i la diplomàcia poden conduir a la pau”.  Aposta per la digitalització com un instrument de desenvolupament i de progrés Prèviament a la sessió plenària, dilluns al matí, Espot ha participat en el diàleg interactiu sota el títol 'Cap a un futur digital comú: reforçar la innovació inclusiva i la cooperació per superar les bretxes digitals'. En la taula rodona, copresidida pel president d’Estònia, Alar Karis, i pel president de Maldives, Mohamed Muizzu, han participat una vintena de països com Albània, Brasil, Noruega, Grècia, Bulgària o Irlanda, entre d’altres.  En la intervenció a la taula rodona, el cap de Govern s’ha referit al canvi de paradigma en la manera de treballar i de viure provocat per la revolució digital, als riscos i les oportunitats d’aquesta transició i a la necessitat de treballar per a un futur digital universal i accessible. La digitalització, ha dit, ha de ser un instrument de progrés. Per aquest motiu, ha indicat, Andorra va organitzar la passada primavera el primer Fòrum digital iberoamericà, sota el títol 'Aliances Publicoprivades per a la Transició Digital. Infraestructures per a la connectivitat universal', organitzat de forma conjunta amb la Secretaria General Iberoamericana, amb la voluntat de compartir experiències i coneixements, avançar en la connectivitat universal i contribuir a la implementació de l’Agenda Digital Global de les Nacions Unides i en seguiment del compromís que es va prendre durant la Cimera Iberoamericana d’Andorra el 2021. El cap de Govern ha explicat que Andorra ha fet grans avenços en els darrers anys, especialment en termes de connectivitat de manera que, actualment, pràcticament la totalitat de les llars andorranes tenen accés a Internet. Una evolució tecnològica, ha dit, que s’ha liderat amb responsabilitat i en benefici de tota la ciutadania. Tal com ha exposat Espot, “la nostra experiència en el desenvolupament i la implementació de l’Estratègia Nacional per a la Transició Digital 2030 ens permet veure que les iniciatives digitals contribueixen clarament a millorar els processos educatius i garantir la igualtat d'oportunitats per avançar cap al gènere igualtat, per promoure el creixement econòmic, el treball digne i per aconseguir la pau, la justícia i la consolidació de les institucions”. Per la seva banda, la ministra d’Afers Exteriors, Imma Tor, ha participat en la trobada d’alt nivell sobre la inclusió de les dones en el futur de l’Afganistan, organitzada per Irlanda, Indonèsia, Suïssa i Qatar, en col·laboració amb el Fòrum de Dones sobre l’Afganistan.",,,,,,,,
ara-2024-09-24 12:26:26-Dissabte arrenquen els vols que la companyia Air Nostrum oferirà durant tot l’any amb Palma,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 12:26:26,economia,article,Dissabte arrenquen els vols que la companyia Air Nostrum oferirà durant tot l’any amb Palma,https://www.ara.ad/economia/dissabte-arrenquen-vols-companyia-air-nostrum-oferira-durant-l-any-palma_1_5149810.html,L'executiu va anunciar a finals d'agost que havia estat Air Nostrum el guanyador del concurs internacional,"Andorra la VellaAquest dissabte vinent arrenquen els vols que la companyia Air Nostrum oferirà ja durant tot l’any amb Palma. El director comercial de la companyia aèria, Juan Corral, admet que aquesta connexió regular és per a ells “un desafiament” però també reivindica que “és un pas més en el desenvolupament de l’aeroport”. “Ja ho vam operar el primer trimestre d’aquest any i va ser un èxit. Ara veurem com es comporta amb una operació regular durant el llarg de dotze mesos”, destaca Corral sobre aquesta connexió setmanal amb Palma.  Cal recordar que l’executiu va anunciar a finals d’agost que havia estat Air Nostrum el guanyador del concurs internacional per rebre el suport econòmic per operar els vols a Palma i Madrid. Pel que fa al primer bloc del concurs, preveu que des del 28 de setembre i fins a finals d’any la companyia oferirà dues connexions setmanals entre l’aeroport d’Andorra-la Seu d’Urgell i Palma, el qual representa catorze setmanes d’operació. L’horari del vol i els dies variaran en funció de la temporada: divendres i diumenge durant l’hivern (novembre-març) i dissabte i dimarts durant l’estiu (setembre-octubre).  Per aquest període, el Govern preveu una aportació màxima de 220.000 euros. De forma paral·lela, i en el segon bloc del concurs, el Govern també va adjudicar les aportacions econòmiques per continuar oferint el vol a Palma el 2025 i el 2026, i també la connexió aèria amb Madrid –que finalitza el contracte aquest 2024. L’oferta dels vols per a l’any 2025 i 2026 serà exactament la mateixa que l’actual en el cas del vol a Madrid –dues connexions setmanals el divendres i el diumenge– i en el cas de Palma els dies dels vols seran diferents en funció de la temporada d’estiu o hivern. Corral considera que el que diferenciava la seva oferta de l’altra que es va presentar és, “sobretot, la capacitat per connectar Andorra amb el món i el món amb Andorra via la T4 de l’aeroport Adolfo Suárez Madrid-Barajas”. En aquest sentit, recorda que Madrid és el “‘hub’ número u d’Europa en connectivitat amb Llatinoamèrica” i que això ja ha permès que molts passatgers poden “facturar la maleta a l’aeroport d’Andorra-la Seu d’Urgell i recollir-la a Buenos Aires, Nova York o qualsevol de les 66 destinacions amb què connecta el nostre vol a Madrid”. “Això és una cosa que només podem oferir nosaltres com a operador regional”, reivindica en una entrevista amb el periodista Javier Ortega Figueiral. I pel que fa al vol amb Palma reivindica que “volar sota el paraigua de la marca líder a l’aviació comercial espanyola és un gran avantatge competitiu perquè la comercialització que ofereix el Grup Iberia és immillorable”. En aquest sentit, remarca que Air Nostrum és “l’operador de referència al mercat interbalear amb prop de 800.000 passatgers i uns 14.000 vols a l’any i això ens permet connectar Andorra no només amb Mallorca sinó també amb les illes d’Eivissa i Menorca, passant per l’aeroport de Son Sant Joan”.  Consolidar les freqüències ja existents Qüestionat sobre si per a la companyia seria interessant operar més destinacions des d’Andorra, Corral es mostra contundent: “Ho tenim clar, preferim consolidar les destinacions ja existents perquè estem parlant d’una operació que encara està en procés de maduració”. D’aquesta manera, remarca que s’estimen més “anar fent passos i solidificant” el que han aconseguit, sobretot pel que fa a la connexió amb Madrid, que els permet enllaçar amb tota la xarxa d’Iberia. “Després de 30 anys al mercat, sabem que cal fomentar el que anomenem com ‘el costum de volar’ entre els potencials clients de les noves destinacions que estrenem i més encara quan no hi ha hagut en aquests llocs vols regulars previs”, manifesta l’expert. I a més fa èmfasi en el fet que Andorra té una “circumstància especial”, que és “l’estacionalitat inversa” que fa que al febrer es registrin les ocupacions més altes dels vols i, en canvi, a l’agost baixin “a la meitat”. “Es tracta d’una estacionalitat atípica vinculada a la temporada d’esquí que no tenim a cap altra ruta de la xarxa”, valora.  I en el debat sobre quina altra destinació seria interessant en un futur per a l’aeroport, reitera que el que volen és “consolidar la connectivitat via Madrid”, ja que això els permetrà anar veient quines són les destinacions més sol·licitades. “Inicialment, vam estudiar Lisboa i ens consta que també hi havia interès per Londres i París, però són destinacions que cal estudiar molt bé perquè estem supeditats a les limitacions de l’aeroport i es tracta de rutes molt llargues”, remarca.",,,,,,,,
ara-2024-09-24 09:45:22-Espot posa en relleu els avenços d'Andorra en digitalització a la Cimera del futur de l'ONU,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 09:45:22,politica,article,Espot posa en relleu els avenços d'Andorra en digitalització a la Cimera del futur de l'ONU,https://www.ara.ad/politica/espot-posa-relleu-avencos-d-andorra-digitalitzacio-cimera-futur-l-onu_1_5149759.html,"Xavier Espot, cap de Govern d'Andorra, ha participat en la Cimera del Futur, dins de la 79a Assemblea General de les Nacions Unides a Nova York","Andorra la VellaXavier Espot, cap de Govern, ha centrat el seu discurs en els efectes socials de la revolució digital durant una taula rodona prèvia a la sessió plenària de la Cimera del Futur, que se celebra en el marc de la setanta-novena Assemblea General de les Nacions Unides a Nova York. Espot ha ressaltat la necessitat de fixar principis compartits que garanteixin un espai digital accessible i equitatiu per a tothom. En aquest sentit, ha destacat que Andorra és un dels territoris millor comunicats del món, amb un 96% de la població que té accés a internet. ""La cooperació és essencial per aconseguir un espai digital comú"", ha afirmat Espot.  Durant la seva intervenció, el cap de Govern ha subratllat com la digitalització ha modificat l'estil de vida de la societat, advertint que aquestes modificacions comporten riscos i necessiten adaptació. Ha afirmat que la revolució digital actual és tan ràpida que pot durar cent anys, a diferència d'altres canvis que han perdurat milers d'anys. Espot ha mencionat també que la pandèmia de la Covid-19 va evidenciar una gran divisió en l'accés a les tecnologies, deixant clar que la digitalització ""no ha estat universal"". Per combatre aquestes desigualtats, ha considerat imprescindible establir principis que garanteixin un espai digital comú accessible per a tothom.  A més, el cap de Govern ha destacat que, malgrat ser un país petit, Andorra es troba en una posició privilegiada pel que fa a la comunicació digital. Ha mencionat que la transició digital és crucial per assolir els Objectius de Desenvolupament Sostenible (ODS), la qual pot impulsar el creixement econòmic, promoure el treball digne i millorar àmbits com l'educació i la igualtat de gènere. Finalment, Xavier Espot té previst intervenir aquesta nit en la sessió plenària de la Cimera del Futur, on continuarà defensant la importància d'un futur digital inclusiu i equitatiu per a tots.",,,,,,,,
ara-2024-09-24 11:07:20-Traslladats a l'Hospital dos ferits per un accident de trànsit a la Bartra,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 11:07:20,successos,article,Traslladats a l'Hospital dos ferits per un accident de trànsit a la Bartra,https://www.ara.ad/successos/traslladats-l-hospital-ferits-accident-transit-bartra_1_5149788.html,L'accident ha estat a les 6:30 del matí,"Andorra la VellaUn accident de trànsit ha tingut lloc aquest matí a la zona de la Bartra, a la carretera General 2, deixant dues persones ferides. Segons han informat els bombers, han rebut l’avís a les 6.40 hores i un dels ferits ha estat traslladat a l’Hospital Nostra Senyora de Meritxell. L’accident, que ha implicat un sol vehicle, s’ha produït a les 6.30 del matí i ha obligat a tallar el carril de pujada, on ha quedat aturat el cotxe. Els serveis d’emergència han habilitat un pas alternatiu per garantir la circulació mentre es duia a terme la seva intervenció.",,,,,,,,
ara-2024-09-24 11:57:43-Divuit anys de presó per abusar de tres menors a l'Alt Urgell,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 11:57:43,successos,article,Divuit anys de presó per abusar de tres menors a l'Alt Urgell,https://www.ara.ad/successos/divuit-anys-preso-abusar-tres-menors-l-alt-urgell_1_5149814.html,"Les víctimes van explicar, en el judici celebrat el 24 de gener passat, que l'home els feia tocaments quan les portava amb cotxe a l'institut o a una caseta que tenia","Andorra la VellaL'Audiència de Lleida ha condemnat a 18 anys de presó a un home per abusar sexualment de tres noies menors d'edat al terme municipal de Coll de Nargó (Alt Urgell) l'any 2020, segons ha avançat Catalunya Ràdio i ha confirmat el Tribunal Superior de Justícia de Catalunya. L'Audiència dona credibilitat a les declaracions de les joves, una de les quals és filla de l'exparella del processat i les altres dues estaven en règim d'acollida. Segons RadioSeu, les víctimes van explicar, en el judici celebrat el 24 de gener passat, que l'home els feia tocaments quan les portava amb cotxe a l'institut o a una caseta que tenia a la muntanya. A més, una d'elles va dir que li va arribar a introduir els dits a la vagina. Per la seva part, l'acusat va negar els fets.  La jutgessa exposa en la seva sentència que les declaracions de les tres víctimes van ser ""plenament coherents, amb una narració lògica i coincident entre si i sense contradiccions"". A més, es veu ratificada pels psicòlegs de l'Equip d'Assessorament Tècnic en l'Àmbit de Família (EATAF), que donen plena credibilitat als seus relats, sobretot per la ""simptomatologia"" que presenten arran dels fets. En concret, l'Audiència condemna l'home per tres delictes d'abús sexual continuat, un dels quals amb accés carnal, i amb l'agreujant de superioritat. A més, li imposa 5 anys de llibertat vigilada després de complir la condemna i que indemnitzi les víctimes amb 15.000, 5.000 i 4.000 euros respectivament. També determina mesures perquè no pugui acostar-se a les denunciants o treballar amb menors d'edat.",,,,,,,,
ara-2024-09-24 19:28:07-Europa recomana establir la prohibició de fumar a les terrasses,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 19:28:07,societat,article,Europa recomana establir la prohibició de fumar a les terrasses,https://www.ara.ad/societat/europa-recomana-establir-prohibicio-fumar-terrasses_1_5150096.html,Brussel·les continua amb la lluita contra el tabaquisme,"Andorra la VellaLa Comissió Europea ha presentat aquest dimarts una recomanació per a ampliar les zones lliures de fum a parcs infantils, piscines, parades d'autobús, estacions o espais a l'aire lliure de col·legis i hospitals, tal com informen diferents mitjans espanyols. I per primera vegada Brussel·les demana que s'apliqui als 'vapeadors' o cigarrets electrònics. Però la recomanació no és vinculant, ja que Europa no compta amb competències de Sanitat, per la qual cosa dependrà dels països aplicar-la o no.  La proposta, destinada a fer front als riscos que plantegen els aerosols i el tabac, amplia l'àmbit d'aplicació de les normes anteriors, vigents des de 2009, i introdueix la prohibició de fumar en els espais a l'aire lliure, inclosos els productes innovadors que no contenen nicotina.",,,,,,,,
ara-2024-09-24 21:20:41-Hospitalitzats dos homes després de barallar-se a Sant Julià,2024-09-26 00:07:02.294950,ara,andorra,2024-09-24 21:20:41,successos,article,Hospitalitzats dos homes després de barallar-se a Sant Julià,https://www.ara.ad/successos/hospitalitzats-homes-despres-barallar-sant-julia_1_5150307.html,La disputa va tenir lloc a Sant Julià de Lòria,"Sant Julià de LòriaLa Policia va detenir, diumenge a la nit a Sant Julià de Lòria, dos homes de 43 i 45 anys com a presumptes autors de delictes contra la integritat física i moral. Segons expliquen des del cos d'ordre, tots dos van agredir-se mútuament durant una baralla als carrers. Es trobaven sota els efectes de l'alcohol i van haver de ser traslladats a l'hospital per ser atesos de les diverses lesions que presentaven.",,,,,,,,
